刑事附带民事	赔偿	NA	审理交通肇事犯罪引发的民事赔偿纠纷应严格按照刑事附带民事诉讼模式解决。

危险驾驶	刑法界定	NA	在对危险驾驶犯罪行为进行刑法界定时。

人民检察院	故意伤害罪	NA	浙江省衢州市柯城区人民检察院以被告人姜方平犯私藏枪支、故意伤害罪。

人民检察院	故意伤害罪	NA	 新疆维吾尔自治区昌吉市人民检察院以被告人李建贵犯故意伤害罪。

人民检察院	故意伤害罪	NA	淮北市杜集区人民检察院以涉嫌故意伤害罪对犯罪嫌疑人张亚辉批准逮捕。

人民检察院	故意伤害罪	NA	这个因为婚姻之事而殴打自己父亲的逆子被来宾市兴宾区人民检察院以涉嫌故意伤害罪批准逮捕。

适用	必要性	NA	以必要性为原则合理限制故意杀人罪的死刑适用。

法院	审判实践	NA	审判实践中应严格按照最高人民法院《关于审理破坏公用电信设施刑事案件具体应用法律若干问题的解释》(以下简称《解释》)中列举规定的危害公共安全和严重后果的具体情形进行定罪和量刑。

刑法修正案	寻衅滋事罪	NA	刑法修正案草案明确了寻衅滋事罪处罚中的差别性。

刑法修正案	寻衅滋事罪	NA	《中华人民国刑法修正案(八)草案》及其对寻衅滋事罪所做的修改。

故意杀人罪	结果加重犯	NA	这样做一是可以克服通说的缺陷；二是有利于正确区分故意杀人罪与放火等罪的界限；三是有利于处理《刑法》第１７条第２款在适用中遇到的问题；四是有利于统一对结果加重犯的认识与处理；五是有利于将来削减死刑条款。

非法持有	中级人民法院	NA	河南省周口市中级人民法院依法公开宣判了孔刚等35人组织领导参加黑社会性质组织罪、故意杀人罪、故意伤害罪、聚众斗殴罪、寻衅滋事罪、故意毁坏财物罪、非法持有枪支罪案。

非法持有	中级人民法院	NA	河南省周口市中级人民法院依法公开宣判了孔刚等35人组织领导参加黑社会性质组织罪、故意杀人罪、故意伤害罪、聚众斗殴罪、寻衅滋事罪、故意毁坏财物罪、非法持有枪支罪案。

非法持有	中级人民法院	NA	河南省周口市中级人民法院依法公开宣判了孔刚等35人组织领导参加黑社会性质组织罪、故意杀人罪、故意伤害罪、聚众斗殴罪、寻衅滋事罪、故意毁坏财物罪、非法持有枪支罪案。

交通肇事	结果加重犯	NA	也无法构成交通肇事罪结果加重犯的共犯。

交通肇事	结果加重犯	NA	仅作为交通肇事罪的结果加重犯定性处罚。

醉酒驾车	危害公共安全	NA	主要根据醉酒驾车行为是不是以危险方法危害公共安全。

醉酒驾车	危害公共安全	NA	《意见》在明确行为人明知醉酒驾车会危害公共安全。

